,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon
184,Knightsbridge,Angel,13,40,51.5013548976071,-0.16066448611880801,51.53296801568911,-0.10558144894639801
185,Ladbroke Grove,Angel,25,28,51.5172106734536,-0.210198172458574,51.53296801568911,-0.10558144894639801
186,Lambeth North,Angel,0,12,51.499129945865796,-0.11176826118096302,51.53296801568911,-0.10558144894639801
187,Latimer Road,Angel,0,55,51.5139580984839,-0.217459666065143,51.53296801568911,-0.10558144894639801
188,Leicester Square,Angel,17,110,51.5112911816198,-0.128242147580481,51.53296801568911,-0.10558144894639801
189,Leyton,Angel,207,0,51.5581322702431,-0.00646533158243596,51.53296801568911,-0.10558144894639801
190,Leytonstone,Angel,92,0,51.5685222890996,0.00914045195130117,51.53296801568911,-0.10558144894639801
191,Liverpool Street,Angel,110,51,51.5175982643439,-0.0822496222771093,51.53296801568911,-0.10558144894639801
192,London Bridge,Angel,794,477,51.5046743475629,-0.0860055981730393,51.53296801568911,-0.10558144894639801
193,Loughton,Angel,2,0,51.641570477697705,0.0552790791032814,51.53296801568911,-0.10558144894639801
194,Maida Vale,Angel,0,10,51.5299950567181,-0.18543264693135394,51.53296801568911,-0.10558144894639801
195,Manor House,Angel,42,8,51.570747140220206,-0.0956849762588548,51.53296801568911,-0.10558144894639801
196,Marble Arch,Angel,23,0,51.51396549179051,-0.158571216249827,51.53296801568911,-0.10558144894639801
197,Mile End,Angel,0,31,51.5253109704202,-0.0326660843305231,51.53296801568911,-0.10558144894639801
198,Mill Hill East,Angel,3,0,51.60831664462871,-0.20989571287373104,51.53296801568911,-0.10558144894639801
199,Moor Park,Angel,4,0,51.62993066541039,-0.43291302742675797,51.53296801568911,-0.10558144894639801
200,Moorgate,Angel,44,250,51.5184371390077,-0.0890176878750945,51.53296801568911,-0.10558144894639801
201,Morden,Angel,194,35,51.402185961613505,-0.19485198172341897,51.53296801568911,-0.10558144894639801
202,Newbury Park,Angel,47,47,51.5756383559361,0.090303157711892,51.53296801568911,-0.10558144894639801
203,North Acton,Angel,22,0,51.5234324274314,-0.259729527847009,51.53296801568911,-0.10558144894639801
204,North Ealing,Angel,0,12,51.5176222888529,-0.288993552615282,51.53296801568911,-0.10558144894639801
205,North Greenwich,Angel,125,41,51.5002551525582,0.00358625912485761,51.53296801568911,-0.10558144894639801
206,North Wembley,Angel,42,0,51.56239629153811,-0.30394821929308,51.53296801568911,-0.10558144894639801
207,Northfields,Angel,5,31,51.500491670459795,-0.31506481877021597,51.53296801568911,-0.10558144894639801
208,Northwick Park,Angel,0,10,51.57850868801479,-0.31819939191086705,51.53296801568911,-0.10558144894639801
209,Northwood,Angel,24,0,51.611213610715,-0.423837786672373,51.53296801568911,-0.10558144894639801
210,Northwood Hills,Angel,0,13,51.600802645329296,-0.409311357826304,51.53296801568911,-0.10558144894639801
211,Notting Hill Gate,Angel,8,24,51.50937533634539,-0.19592161845508502,51.53296801568911,-0.10558144894639801
212,Oakwood,Angel,12,8,51.6476379604749,-0.131853539818674,51.53296801568911,-0.10558144894639801
213,Old Street,Angel,198,93,51.525581471626,-0.0876229578285339,51.53296801568911,-0.10558144894639801
214,Osterley,Angel,21,0,51.4812168100862,-0.35209609607353903,51.53296801568911,-0.10558144894639801
215,Oval,Angel,88,81,51.4814126004267,-0.11332107586241001,51.53296801568911,-0.10558144894639801
216,Oxford Circus,Angel,0,207,51.5152234024753,-0.140836171281216,51.53296801568911,-0.10558144894639801
217,Paddington,Angel,44,13,51.5153937854761,-0.17573675205718,51.53296801568911,-0.10558144894639801
218,Perivale,Angel,35,0,51.536341821196096,-0.32307042198110697,51.53296801568911,-0.10558144894639801
219,Piccadilly Circus,Angel,0,93,51.5096967485824,-0.133711597193113,51.53296801568911,-0.10558144894639801
