,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
24177,686,Richmond                      ,707,South Harrow                  ,0,14
24178,686,Richmond                      ,708,South Kensington              ,197,150
24179,686,Richmond                      ,710,South Ruislip                 ,9,0
24180,686,Richmond                      ,705,Southfields                   ,0,1
24181,686,Richmond                      ,784,Southwark                     ,2,0
24182,686,Richmond                      ,695,St. James's Park              ,41,38
24184,686,Richmond                      ,713,Stamford Brook                ,30,32
24185,686,Richmond                      ,714,Stanmore                      ,0,3
24186,686,Richmond                      ,715,Stepney Green                 ,7,0
24188,686,Richmond                      ,720,Sudbury Hill                  ,0,3
24189,686,Richmond                      ,721,Sudbury Town                  ,0,30
24190,686,Richmond                      ,723,Swiss Cottage                 ,2,13
24191,686,Richmond                      ,724,Temple                        ,60,21
24193,686,Richmond                      ,727,Tooting Broadway              ,2,0
24194,686,Richmond                      ,728,Tottenham Court Road          ,0,12
24195,686,Richmond                      ,729,Tottenham Hale                ,0,24
24196,686,Richmond                      ,731,Tower Hill                    ,23,16
24197,686,Richmond                      ,733,Tufnell Park                  ,10,0
24198,686,Richmond                      ,734,Turnham Green                 ,117,46
24199,686,Richmond                      ,735,Turnpike Lane                 ,0,2
24200,686,Richmond                      ,740,Uxbridge                      ,9,0
24201,686,Richmond                      ,777,Vauxhall                      ,13,0
24202,686,Richmond                      ,741,Victoria                      ,28,39
24204,686,Richmond                      ,745,Warren Street                 ,10,9
24206,686,Richmond                      ,747,Waterloo                      ,13,14
24207,686,Richmond                      ,752,Wembley Park                  ,8,0
24209,686,Richmond                      ,759,West Harrow                   ,0,57
24210,686,Richmond                      ,760,West Kensington               ,39,0
24211,686,Richmond                      ,754,Westbourne Park               ,2,22
24212,686,Richmond                      ,761,Westminster                   ,20,4
24213,686,Richmond                      ,764,White City                    ,18,0
24214,686,Richmond                      ,763,Whitechapel                   ,6,0
24215,686,Richmond                      ,765,Willesden Green               ,0,10
24216,686,Richmond                      ,766,Willesden Junction            ,50,315
24218,686,Richmond                      ,768,Wimbledon Park                ,0,3
24220,686,Richmond                      ,599,Wood Lane                     ,17,0
24221,686,Richmond                      ,769,Woodford                      ,0,5
24222,687,Rickmansworth                 ,502,Aldgate                       ,105,0
24223,687,Rickmansworth                 ,503,Aldgate East                  ,3,0
24224,687,Rickmansworth                 ,505,Alperton                      ,0,11
24225,687,Rickmansworth                 ,506,Amersham                      ,25,0
24226,687,Rickmansworth                 ,507,Angel                         ,12,0
24227,687,Rickmansworth                 ,511,Baker Street                  ,67,53
24228,687,Rickmansworth                 ,513,Bank / Monument               ,2,0
24229,687,Rickmansworth                 ,501,Barbican                      ,79,0
24230,687,Rickmansworth                 ,522,Blackhorse Road               ,0,11
24231,687,Rickmansworth                 ,524,Bond Street                   ,14,0
24234,687,Rickmansworth                 ,788,Canada Water                  ,12,0
24235,687,Rickmansworth                 ,852,Canary Wharf                  ,59,0
24236,687,Rickmansworth                 ,539,Chalfont & Latimer            ,0,29
24238,687,Rickmansworth                 ,718,Charing Cross                 ,1,2
24239,687,Rickmansworth                 ,543,Chesham                       ,59,35
24240,687,Rickmansworth                 ,546,Chorleywood                   ,6,1
24242,687,Rickmansworth                 ,553,Covent Garden                 ,3,0
24244,687,Rickmansworth                 ,561,Ealing Common                 ,1,0
24245,687,Rickmansworth                 ,570,Elephant & Castle             ,3,0
24246,687,Rickmansworth                 ,542,Embankment                    ,1,0
24247,687,Rickmansworth                 ,575,Euston Square                 ,36,0
24248,687,Rickmansworth                 ,577,Farringdon                    ,156,0
24249,687,Rickmansworth                 ,579,Finchley Road                 ,7,114
24250,687,Rickmansworth                 ,580,Finsbury Park                 ,1,0
24251,687,Rickmansworth                 ,581,Fulham Broadway               ,4,0
24252,687,Rickmansworth                 ,588,Great Portland Street         ,36,0
24253,687,Rickmansworth                 ,590,Green Park                    ,57,30
24254,687,Rickmansworth                 ,591,Gunnersbury                   ,3,0
24255,687,Rickmansworth                 ,593,Hammersmith (Dis)             ,12,0
24256,687,Rickmansworth                 ,773,Hammersmith (H&C)             ,1,0
24257,687,Rickmansworth                 ,594,Hampstead                     ,1,0
24258,687,Rickmansworth                 ,598,Harrow-on-the-Hill            ,32,65
24259,687,Rickmansworth                 ,605,High Street Kensington        ,10,0
24260,687,Rickmansworth                 ,607,Holborn                       ,122,0
24262,687,Rickmansworth                 ,625,King's Cross St. Pancras      ,63,0
24263,687,Rickmansworth                 ,624,Kingsbury                     ,0,15
24264,687,Rickmansworth                 ,626,Knightsbridge                 ,3,0
24265,687,Rickmansworth                 ,628,Lambeth North                 ,2,0
24266,687,Rickmansworth                 ,631,Leicester Square              ,0,4
24267,687,Rickmansworth                 ,634,Liverpool Street              ,111,139
24268,687,Rickmansworth                 ,635,London Bridge                 ,0,1
24269,687,Rickmansworth                 ,641,Marylebone                    ,7,0
24270,687,Rickmansworth                 ,642,Mile End                      ,2,0
24271,687,Rickmansworth                 ,646,Moor Park                     ,0,34
24272,687,Rickmansworth                 ,645,Moorgate                      ,216,0
24273,687,Rickmansworth                 ,649,Neasden                       ,0,16
24274,687,Rickmansworth                 ,789,North Greenwich               ,0,1
24275,687,Rickmansworth                 ,656,North Harrow                  ,0,22
24276,687,Rickmansworth                 ,660,Northwick Park                ,23,0
24277,687,Rickmansworth                 ,661,Northwood                     ,33,29
24279,687,Rickmansworth                 ,669,Oxford Circus                 ,7,0
24280,687,Rickmansworth                 ,670,Paddington                    ,34,1
24281,687,Rickmansworth                 ,674,Piccadilly Circus             ,28,0
24283,687,Rickmansworth                 ,677,Preston Road                  ,5,9
24285,687,Rickmansworth                 ,683,Rayners Lane                  ,0,1
24289,687,Rickmansworth                 ,708,South Kensington              ,10,0
24290,687,Rickmansworth                 ,784,Southwark                     ,66,0
24291,687,Rickmansworth                 ,695,St. James's Park              ,6,22
24292,687,Rickmansworth                 ,696,St. John's Wood               ,1,22
24293,687,Rickmansworth                 ,723,Swiss Cottage                 ,6,0
24294,687,Rickmansworth                 ,724,Temple                        ,1,0
24295,687,Rickmansworth                 ,727,Tooting Broadway              ,40,0
24299,687,Rickmansworth                 ,777,Vauxhall                      ,13,0
24300,687,Rickmansworth                 ,741,Victoria                      ,17,0
24302,687,Rickmansworth                 ,747,Waterloo                      ,28,62
24303,687,Rickmansworth                 ,748,Watford                       ,116,3
24304,687,Rickmansworth                 ,752,Wembley Park                  ,9,24
24305,687,Rickmansworth                 ,758,West Hampstead                ,0,17
24306,687,Rickmansworth                 ,760,West Kensington               ,33,0
24307,687,Rickmansworth                 ,761,Westminster                   ,62,0
24308,687,Rickmansworth                 ,765,Willesden Green               ,4,0
24310,688,Roding Valley                 ,513,Bank / Monument               ,67,0
24311,688,Roding Valley                 ,520,Bethnal Green                 ,12,0
24312,688,Roding Valley                 ,524,Bond Street                   ,9,0
24313,688,Roding Valley                 ,852,Canary Wharf                  ,22,0
24314,688,Roding Valley                 ,541,Chancery Lane                 ,2,0
24316,688,Roding Valley                 ,542,Embankment                    ,3,0
24317,688,Roding Valley                 ,575,Euston Square                 ,11,0
24318,688,Roding Valley                 ,607,Holborn                       ,19,0
24319,688,Roding Valley                 ,625,King's Cross St. Pancras      ,17,0
24321,688,Roding Valley                 ,633,Leytonstone                   ,14,0
24322,688,Roding Valley                 ,634,Liverpool Street              ,36,0
24323,688,Roding Valley                 ,635,London Bridge                 ,14,0
24324,688,Roding Valley                 ,641,Marylebone                    ,18,0
24325,688,Roding Valley                 ,665,Old Street                    ,4,0
24326,688,Roding Valley                 ,668,Oval                          ,3,0
24327,688,Roding Valley                 ,669,Oxford Circus                 ,17,0
24328,688,Roding Valley                 ,672,Parsons Green                 ,7,0
24329,688,Roding Valley                 ,685,Regent's Park                 ,5,0
24330,688,Roding Valley                 ,698,Seven Sisters                 ,2,0
24331,688,Roding Valley                 ,703,Snaresbrook                   ,5,0
24332,688,Roding Valley                 ,708,South Kensington              ,9,0
24334,688,Roding Valley                 ,697,St. Paul's                    ,25,0
24335,688,Roding Valley                 ,719,Stratford                     ,30,0
24336,688,Roding Valley                 ,728,Tottenham Court Road          ,18,0
24337,688,Roding Valley                 ,731,Tower Hill                    ,6,0
24339,688,Roding Valley                 ,764,White City                    ,7,0
24341,690,Royal Oak                     ,500,Acton Town                    ,0,1
24342,690,Royal Oak                     ,503,Aldgate East                  ,29,9
24343,690,Royal Oak                     ,507,Angel                         ,3,0
24345,690,Royal Oak                     ,511,Baker Street                  ,11,0
24346,690,Royal Oak                     ,513,Bank / Monument               ,1,0
24347,690,Royal Oak                     ,501,Barbican                      ,54,1
24350,690,Royal Oak                     ,522,Blackhorse Road               ,0,17
24352,690,Royal Oak                     ,525,Borough                       ,8,0
24353,690,Royal Oak                     ,526,Boston Manor                  ,0,10
24354,690,Royal Oak                     ,534,Caledonian Road               ,17,0
24355,690,Royal Oak                     ,852,Canary Wharf                  ,17,0
24358,690,Royal Oak                     ,553,Covent Garden                 ,0,58
24359,690,Royal Oak                     ,560,Ealing Broadway               ,12,0
24361,690,Royal Oak                     ,569,Edgware Road (Cir)            ,4,0
24362,690,Royal Oak                     ,575,Euston Square                 ,18,17
24363,690,Royal Oak                     ,577,Farringdon                    ,130,7
24365,690,Royal Oak                     ,580,Finsbury Park                 ,0,26
24366,690,Royal Oak                     ,585,Goldhawk Road                 ,11,26
24367,690,Royal Oak                     ,588,Great Portland Street         ,69,61
24368,690,Royal Oak                     ,590,Green Park                    ,17,0
24369,690,Royal Oak                     ,773,Hammersmith (H&C)             ,256,150
24370,690,Royal Oak                     ,595,Hanger Lane                   ,17,0
24371,690,Royal Oak                     ,598,Harrow-on-the-Hill            ,9,0
24372,690,Royal Oak                     ,779,Hatton Cross                  ,3,0
24374,690,Royal Oak                     ,603,Highbury & Islington          ,5,17
24375,690,Royal Oak                     ,607,Holborn                       ,33,0
24376,690,Royal Oak                     ,609,Holloway Road                 ,17,0
24378,690,Royal Oak                     ,621,Kew Gardens                   ,16,0
24379,690,Royal Oak                     ,622,Kilburn                       ,0,13
24380,690,Royal Oak                     ,625,King's Cross St. Pancras      ,60,77
24381,690,Royal Oak                     ,624,Kingsbury                     ,0,13
24382,690,Royal Oak                     ,627,Ladbroke Grove                ,14,0
24383,690,Royal Oak                     ,628,Lambeth North                 ,0,15
24384,690,Royal Oak                     ,630,Latimer Road                  ,16,3
24387,690,Royal Oak                     ,634,Liverpool Street              ,96,49
24388,690,Royal Oak                     ,635,London Bridge                 ,19,0
24389,690,Royal Oak                     ,642,Mile End                      ,0,25
24390,690,Royal Oak                     ,645,Moorgate                      ,204,0
24391,690,Royal Oak                     ,789,North Greenwich               ,0,2
24393,690,Royal Oak                     ,670,Paddington                    ,10,16
24394,690,Royal Oak                     ,674,Piccadilly Circus             ,14,35
24399,690,Royal Oak                     ,686,Richmond                      ,4,2
24400,690,Royal Oak                     ,687,Rickmansworth                 ,0,3
24402,690,Royal Oak                     ,775,Shepherd's Bush Market        ,11,104
24403,690,Royal Oak                     ,704,South Ealing                  ,0,5
24404,690,Royal Oak                     ,707,South Harrow                  ,0,15
24405,690,Royal Oak                     ,708,South Kensington              ,6,0
24407,690,Royal Oak                     ,695,St. James's Park              ,43,0
24410,690,Royal Oak                     ,723,Swiss Cottage                 ,6,0
24411,690,Royal Oak                     ,728,Tottenham Court Road          ,0,22
24413,690,Royal Oak                     ,731,Tower Hill                    ,5,0
24414,690,Royal Oak                     ,740,Uxbridge                      ,9,0
24417,690,Royal Oak                     ,747,Waterloo                      ,0,32
24418,690,Royal Oak                     ,752,Wembley Park                  ,35,0
24420,690,Royal Oak                     ,757,West Ham                      ,0,12
24421,690,Royal Oak                     ,763,Whitechapel                   ,42,0
24422,690,Royal Oak                     ,767,Wimbledon                     ,0,3
24423,690,Royal Oak                     ,770,Wood Green                    ,9,0
24424,690,Royal Oak                     ,599,Wood Lane                     ,31,129
24425,690,Royal Oak                     ,769,Woodford                      ,0,98
24426,691,Ruislip                       ,500,Acton Town                    ,3,0
24427,691,Ruislip                       ,502,Aldgate                       ,4,0
24428,691,Ruislip                       ,505,Alperton                      ,34,0
24431,691,Ruislip                       ,510,Arsenal                       ,0,21
24432,691,Ruislip                       ,511,Baker Street                  ,63,0
24433,691,Ruislip                       ,513,Bank / Monument               ,3,0
24434,691,Ruislip                       ,501,Barbican                      ,16,0
24435,691,Ruislip                       ,516,Barons Court                  ,3,11
24436,691,Ruislip                       ,524,Bond Street                   ,9,0
24437,691,Ruislip                       ,525,Borough                       ,0,2
24438,691,Ruislip                       ,534,Caledonian Road               ,11,0
24441,691,Ruislip                       ,852,Canary Wharf                  ,5,21
24442,691,Ruislip                       ,718,Charing Cross                 ,22,2
24443,691,Ruislip                       ,545,Chiswick Park                 ,7,0
24444,691,Ruislip                       ,546,Chorleywood                   ,0,1
24447,691,Ruislip                       ,558,Dollis Hill                   ,18,0
24448,691,Ruislip                       ,560,Ealing Broadway               ,1,1
24451,691,Ruislip                       ,566,East Ham                      ,0,27
24452,691,Ruislip                       ,567,East Putney                   ,3,0
24453,691,Ruislip                       ,564,Eastcote                      ,0,2
24455,691,Ruislip                       ,569,Edgware Road (Cir)            ,0,7
24456,691,Ruislip                       ,570,Elephant & Castle             ,17,0
24457,691,Ruislip                       ,542,Embankment                    ,17,0
24458,691,Ruislip                       ,575,Euston Square                 ,15,4
24459,691,Ruislip                       ,577,Farringdon                    ,96,0
24460,691,Ruislip                       ,579,Finchley Road                 ,0,3
24461,691,Ruislip                       ,580,Finsbury Park                 ,0,5
24462,691,Ruislip                       ,581,Fulham Broadway               ,2,0
24464,691,Ruislip                       ,583,Gloucester Road               ,0,4
24465,691,Ruislip                       ,588,Great Portland Street         ,10,0
24466,691,Ruislip                       ,590,Green Park                    ,16,0
24467,691,Ruislip                       ,593,Hammersmith (Dis)             ,39,2
24468,691,Ruislip                       ,598,Harrow-on-the-Hill            ,29,36
24469,691,Ruislip                       ,780,Heathrow Terminals 123        ,0,14
24470,691,Ruislip                       ,605,High Street Kensington        ,18,0
24471,691,Ruislip                       ,606,Hillingdon                    ,3,10
24472,691,Ruislip                       ,607,Holborn                       ,2,0
24475,691,Ruislip                       ,614,Hyde Park Corner              ,4,0
24476,691,Ruislip                       ,615,Ickenham                      ,3,0
24477,691,Ruislip                       ,625,King's Cross St. Pancras      ,14,0
24479,691,Ruislip                       ,626,Knightsbridge                 ,4,0
24480,691,Ruislip                       ,631,Leicester Square              ,7,0
24481,691,Ruislip                       ,634,Liverpool Street              ,26,0
24482,691,Ruislip                       ,635,London Bridge                 ,22,0
24484,691,Ruislip                       ,642,Mile End                      ,7,0
24485,691,Ruislip                       ,645,Moorgate                      ,107,0
24486,691,Ruislip                       ,654,North Ealing                  ,0,1
24488,691,Ruislip                       ,660,Northwick Park                ,6,8
24489,691,Ruislip                       ,665,Old Street                    ,13,0
24490,691,Ruislip                       ,669,Oxford Circus                 ,2,0
24491,691,Ruislip                       ,670,Paddington                    ,48,0
24492,691,Ruislip                       ,674,Piccadilly Circus             ,4,0
24493,691,Ruislip                       ,776,Pimlico                       ,7,0
24494,691,Ruislip                       ,677,Preston Road                  ,0,16
24495,691,Ruislip                       ,679,Queensbury                    ,55,0
24496,691,Ruislip                       ,683,Rayners Lane                  ,2,7
24497,691,Ruislip                       ,686,Richmond                      ,5,0
24498,691,Ruislip                       ,687,Rickmansworth                 ,18,0
24500,691,Ruislip                       ,693,Ruislip Manor                 ,0,2
24502,691,Ruislip                       ,698,Seven Sisters                 ,0,32
24503,691,Ruislip                       ,702,Sloane Square                 ,11,0
24505,691,Ruislip                       ,707,South Harrow                  ,0,2
24506,691,Ruislip                       ,708,South Kensington              ,25,26
24508,691,Ruislip                       ,784,Southwark                     ,0,24
24509,691,Ruislip                       ,695,St. James's Park              ,6,3
24510,691,Ruislip                       ,713,Stamford Brook                ,3,0
24512,691,Ruislip                       ,720,Sudbury Hill                  ,3,0
24513,691,Ruislip                       ,721,Sudbury Town                  ,20,0
24514,691,Ruislip                       ,723,Swiss Cottage                 ,8,0
24515,691,Ruislip                       ,724,Temple                        ,1,0
24516,691,Ruislip                       ,734,Turnham Green                 ,0,14
24517,691,Ruislip                       ,740,Uxbridge                      ,330,88
24518,691,Ruislip                       ,777,Vauxhall                      ,1,0
24519,691,Ruislip                       ,741,Victoria                      ,13,0
24520,691,Ruislip                       ,747,Waterloo                      ,32,0
24521,691,Ruislip                       ,752,Wembley Park                  ,16,18
24522,691,Ruislip                       ,758,West Hampstead                ,54,0
24523,691,Ruislip                       ,759,West Harrow                   ,0,14
24524,691,Ruislip                       ,760,West Kensington               ,2,0
24525,691,Ruislip                       ,761,Westminster                   ,7,0
24526,691,Ruislip                       ,763,Whitechapel                   ,0,11
24527,691,Ruislip                       ,765,Willesden Green               ,19,2
24528,692,Ruislip Gardens               ,502,Aldgate                       ,21,0
24529,692,Ruislip Gardens               ,503,Aldgate East                  ,38,0
24530,692,Ruislip Gardens               ,507,Angel                         ,9,0
24531,692,Ruislip Gardens               ,511,Baker Street                  ,25,0
24532,692,Ruislip Gardens               ,513,Bank / Monument               ,139,0
24533,692,Ruislip Gardens               ,524,Bond Street                   ,24,0
24534,692,Ruislip Gardens               ,852,Canary Wharf                  ,47,0
24535,692,Ruislip Gardens               ,540,Chalk Farm                    ,35,0
24536,692,Ruislip Gardens               ,541,Chancery Lane                 ,28,0
24537,692,Ruislip Gardens               ,718,Charing Cross                 ,3,62
24538,692,Ruislip Gardens               ,545,Chiswick Park                 ,5,0
24539,692,Ruislip Gardens               ,560,Ealing Broadway               ,1,0
24540,692,Ruislip Gardens               ,563,East Acton                    ,23,0
24541,692,Ruislip Gardens               ,567,East Putney                   ,0,4
24542,692,Ruislip Gardens               ,570,Elephant & Castle             ,16,0
24543,692,Ruislip Gardens               ,589,Greenford                     ,25,0
24544,692,Ruislip Gardens               ,595,Hanger Lane                   ,2,0
24545,692,Ruislip Gardens               ,605,High Street Kensington        ,26,0
24546,692,Ruislip Gardens               ,607,Holborn                       ,88,0
24547,692,Ruislip Gardens               ,608,Holland Park                  ,18,36
24548,692,Ruislip Gardens               ,625,King's Cross St. Pancras      ,20,0
24549,692,Ruislip Gardens               ,630,Latimer Road                  ,2,0
24550,692,Ruislip Gardens               ,631,Leicester Square              ,1,0
24551,692,Ruislip Gardens               ,634,Liverpool Street              ,7,0
24552,692,Ruislip Gardens               ,635,London Bridge                 ,0,1
24553,692,Ruislip Gardens               ,640,Marble Arch                   ,61,0
24554,692,Ruislip Gardens               ,642,Mile End                      ,10,0
24555,692,Ruislip Gardens               ,653,North Acton                   ,20,0
24556,692,Ruislip Gardens               ,657,Northolt                      ,1,0
24557,692,Ruislip Gardens               ,663,Notting Hill Gate             ,4,0
24558,692,Ruislip Gardens               ,668,Oval                          ,15,0
24559,692,Ruislip Gardens               ,669,Oxford Circus                 ,22,0
24560,692,Ruislip Gardens               ,673,Perivale                      ,3,0
24562,692,Ruislip Gardens               ,776,Pimlico                       ,11,0
24566,692,Ruislip Gardens               ,700,Shepherd's Bush (Cen)         ,43,36
24567,692,Ruislip Gardens               ,702,Sloane Square                 ,6,0
24568,692,Ruislip Gardens               ,708,South Kensington              ,2,0
24569,692,Ruislip Gardens               ,710,South Ruislip                 ,1,0
24570,692,Ruislip Gardens               ,784,Southwark                     ,10,0
24571,692,Ruislip Gardens               ,695,St. James's Park              ,2,0
24572,692,Ruislip Gardens               ,697,St. Paul's                    ,56,0
24573,692,Ruislip Gardens               ,728,Tottenham Court Road          ,104,0
24574,692,Ruislip Gardens               ,731,Tower Hill                    ,0,19
24575,692,Ruislip Gardens               ,741,Victoria                      ,13,0
24576,692,Ruislip Gardens               ,745,Warren Street                 ,2,0
24577,692,Ruislip Gardens               ,747,Waterloo                      ,3,6
24578,692,Ruislip Gardens               ,755,West Brompton                 ,71,0
24580,692,Ruislip Gardens               ,762,West Ruislip                  ,4,0
24581,692,Ruislip Gardens               ,761,Westminster                   ,12,64
24582,692,Ruislip Gardens               ,764,White City                    ,63,0
24583,692,Ruislip Gardens               ,599,Wood Lane                     ,3,0
24584,693,Ruislip Manor                 ,500,Acton Town                    ,66,0
24585,693,Ruislip Manor                 ,502,Aldgate                       ,9,0
24586,693,Ruislip Manor                 ,505,Alperton                      ,0,23
24588,693,Ruislip Manor                 ,511,Baker Street                  ,63,0
24589,693,Ruislip Manor                 ,501,Barbican                      ,21,0
24590,693,Ruislip Manor                 ,516,Barons Court                  ,7,0
24591,693,Ruislip Manor                 ,524,Bond Street                   ,16,0
24592,693,Ruislip Manor                 ,526,Boston Manor                  ,24,0
24593,693,Ruislip Manor                 ,534,Caledonian Road               ,6,0
24594,693,Ruislip Manor                 ,535,Camden Town                   ,23,0
24595,693,Ruislip Manor                 ,788,Canada Water                  ,14,0
24596,693,Ruislip Manor                 ,852,Canary Wharf                  ,23,0
24597,693,Ruislip Manor                 ,541,Chancery Lane                 ,3,0
24598,693,Ruislip Manor                 ,718,Charing Cross                 ,15,12
24599,693,Ruislip Manor                 ,545,Chiswick Park                 ,22,0
24600,693,Ruislip Manor                 ,561,Ealing Common                 ,10,1
24602,693,Ruislip Manor                 ,564,Eastcote                      ,0,20
24604,693,Ruislip Manor                 ,575,Euston Square                 ,28,24
24605,693,Ruislip Manor                 ,577,Farringdon                    ,56,0
24606,693,Ruislip Manor                 ,579,Finchley Road                 ,17,35
24608,693,Ruislip Manor                 ,583,Gloucester Road               ,2,0
24609,693,Ruislip Manor                 ,588,Great Portland Street         ,33,0
24610,693,Ruislip Manor                 ,590,Green Park                    ,30,17
24611,693,Ruislip Manor                 ,593,Hammersmith (Dis)             ,45,19
24612,693,Ruislip Manor                 ,598,Harrow-on-the-Hill            ,87,40
24613,693,Ruislip Manor                 ,606,Hillingdon                    ,2,0
24614,693,Ruislip Manor                 ,607,Holborn                       ,3,0
24615,693,Ruislip Manor                 ,615,Ickenham                      ,33,40
24616,693,Ruislip Manor                 ,625,King's Cross St. Pancras      ,16,4
24617,693,Ruislip Manor                 ,626,Knightsbridge                 ,14,0
24618,693,Ruislip Manor                 ,631,Leicester Square              ,9,0
24619,693,Ruislip Manor                 ,634,Liverpool Street              ,72,0
24620,693,Ruislip Manor                 ,635,London Bridge                 ,3,0
24621,693,Ruislip Manor                 ,645,Moorgate                      ,27,0
24622,693,Ruislip Manor                 ,660,Northwick Park                ,6,0
24623,693,Ruislip Manor                 ,669,Oxford Circus                 ,8,0
24624,693,Ruislip Manor                 ,674,Piccadilly Circus             ,17,60
24625,693,Ruislip Manor                 ,776,Pimlico                       ,4,0
24626,693,Ruislip Manor                 ,683,Rayners Lane                  ,20,0
24627,693,Ruislip Manor                 ,691,Ruislip                       ,7,0
24629,693,Ruislip Manor                 ,704,South Ealing                  ,8,0
24630,693,Ruislip Manor                 ,707,South Harrow                  ,13,0
24631,693,Ruislip Manor                 ,708,South Kensington              ,3,0
24632,693,Ruislip Manor                 ,784,Southwark                     ,24,0
24633,693,Ruislip Manor                 ,695,St. James's Park              ,23,0
24636,693,Ruislip Manor                 ,740,Uxbridge                      ,424,164
24637,693,Ruislip Manor                 ,777,Vauxhall                      ,29,0
24638,693,Ruislip Manor                 ,741,Victoria                      ,39,0
24639,693,Ruislip Manor                 ,747,Waterloo                      ,30,0
24640,693,Ruislip Manor                 ,748,Watford                       ,20,0
24641,693,Ruislip Manor                 ,752,Wembley Park                  ,57,0
24643,693,Ruislip Manor                 ,761,Westminster                   ,12,0
24644,693,Ruislip Manor                 ,765,Willesden Green               ,36,0
24645,693,Ruislip Manor                 ,766,Willesden Junction            ,5,0
24646,694,Russell Square                ,500,Acton Town                    ,4,35
24647,694,Russell Square                ,502,Aldgate                       ,5,11
24649,694,Russell Square                ,506,Amersham                      ,0,2
24650,694,Russell Square                ,507,Angel                         ,6,21
24651,694,Russell Square                ,508,Archway                       ,0,26
24652,694,Russell Square                ,509,Arnos Grove                   ,0,114
24653,694,Russell Square                ,510,Arsenal                       ,17,62
24654,694,Russell Square                ,511,Baker Street                  ,0,16
24655,694,Russell Square                ,512,Balham                        ,0,16
24656,694,Russell Square                ,513,Bank / Monument               ,183,65
24657,694,Russell Square                ,501,Barbican                      ,0,14
24658,694,Russell Square                ,514,Barking                       ,16,1
24659,694,Russell Square                ,516,Barons Court                  ,28,51
24660,694,Russell Square                ,517,Bayswater                     ,0,2
24661,694,Russell Square                ,519,Belsize Park                  ,0,1
24663,694,Russell Square                ,522,Blackhorse Road               ,2,60
24664,694,Russell Square                ,524,Bond Street                   ,17,31
24666,694,Russell Square                ,526,Boston Manor                  ,0,22
24667,694,Russell Square                ,527,Bounds Green                  ,3,240
24670,694,Russell Square                ,778,Brixton                       ,0,51
24671,694,Russell Square                ,530,Bromley-by-Bow                ,0,24
24673,694,Russell Square                ,534,Caledonian Road               ,13,113
24674,694,Russell Square                ,535,Camden Town                   ,0,19
24675,694,Russell Square                ,788,Canada Water                  ,0,75
24676,694,Russell Square                ,852,Canary Wharf                  ,26,0
24678,694,Russell Square                ,536,Cannon Street                 ,0,2
24679,694,Russell Square                ,537,Canons Park                   ,0,25
24681,694,Russell Square                ,541,Chancery Lane                 ,0,13
24682,694,Russell Square                ,718,Charing Cross                 ,8,29
24683,694,Russell Square                ,545,Chiswick Park                 ,0,6
24685,694,Russell Square                ,547,Clapham Common                ,0,4
24686,694,Russell Square                ,548,Clapham North                 ,24,3
24687,694,Russell Square                ,549,Clapham South                 ,0,50
24688,694,Russell Square                ,550,Cockfosters                   ,0,15
24690,694,Russell Square                ,552,Colliers Wood                 ,0,38
24691,694,Russell Square                ,553,Covent Garden                 ,37,168
24692,694,Russell Square                ,554,Croxley                       ,0,1
24696,694,Russell Square                ,560,Ealing Broadway               ,14,7
24697,694,Russell Square                ,561,Ealing Common                 ,0,33
24698,694,Russell Square                ,562,Earl's Court                  ,0,76
24699,694,Russell Square                ,565,East Finchley                 ,0,2
24700,694,Russell Square                ,566,East Ham                      ,5,77
24701,694,Russell Square                ,567,East Putney                   ,2,33
24705,694,Russell Square                ,570,Elephant & Castle             ,4,12
24708,694,Russell Square                ,576,Fairlop                       ,0,7
24710,694,Russell Square                ,578,Finchley Central              ,0,9
24711,694,Russell Square                ,579,Finchley Road                 ,4,8
24712,694,Russell Square                ,580,Finsbury Park                 ,39,333
24713,694,Russell Square                ,581,Fulham Broadway               ,21,33
24714,694,Russell Square                ,582,Gants Hill                    ,9,46
24715,694,Russell Square                ,583,Gloucester Road               ,0,59
24716,694,Russell Square                ,584,Golders Green                 ,22,92
24717,694,Russell Square                ,586,Goodge Street                 ,0,3
24719,694,Russell Square                ,590,Green Park                    ,90,51
24720,694,Russell Square                ,589,Greenford                     ,0,4
24721,694,Russell Square                ,591,Gunnersbury                   ,4,25
24722,694,Russell Square                ,593,Hammersmith (Dis)             ,31,135
24723,694,Russell Square                ,594,Hampstead                     ,0,3
24724,694,Russell Square                ,598,Harrow-on-the-Hill            ,0,9
24725,694,Russell Square                ,779,Hatton Cross                  ,0,11
24726,694,Russell Square                ,781,Heathrow Terminal 4           ,0,62
24727,694,Russell Square                ,783,Heathrow Terminal 5           ,8,0
24728,694,Russell Square                ,780,Heathrow Terminals 123        ,51,4
24730,694,Russell Square                ,605,High Street Kensington        ,10,11
24731,694,Russell Square                ,603,Highbury & Islington          ,4,13
24732,694,Russell Square                ,604,Highgate                      ,0,6
24733,694,Russell Square                ,607,Holborn                       ,23,48
24735,694,Russell Square                ,609,Holloway Road                 ,10,255
24736,694,Russell Square                ,611,Hounslow Central              ,16,6
24737,694,Russell Square                ,612,Hounslow East                 ,0,30
24738,694,Russell Square                ,613,Hounslow West                 ,0,47
24739,694,Russell Square                ,614,Hyde Park Corner              ,40,2
24741,694,Russell Square                ,616,Kennington                    ,0,7
24742,694,Russell Square                ,617,Kensal Green                  ,15,0
